page,2013-04-01 pi,2013-05-01 pi,2013-06-01 pi,2013-07-01 pi,2013-08-01 pi,2013-09-01 pi,2013-10-01 pi,2013-11-01 pi,2013-12-01 pi,2014-01-01 pi,2014-02-01 pi,2014-03-01 pi,2014-04-01 pi,2014-05-01 pi,2014-06-01 pi,2014-07-01 pi,2014-08-01 pi,2014-09-01 pi,2014-10-01 pi,2014-11-01 pi,2014-12-01 pi,2015-01-01 pi,2015-02-01 pi,2015-03-01 pi,2015-04-01 pi,2015-05-01 pi,2015-06-01 pi,2015-07-01 pi,2015-08-01 pi,2015-09-01 pi,2015-10-01 pi,2015-11-01 pi,2015-12-01 pi,2016-01-01 pi,2016-02-01 pi,2016-03-01 pi,2016-04-01 pi,2016-05-01 pi,2016-06-01 pi,2016-07-01 pi,2016-08-01 pi,2016-09-01 pi,2016-10-01 pi,2016-11-01 pi,2016-12-01 pi,2017-01-01 pi,2017-02-01 pi,2017-03-01 pi,2017-04-01 pi,2017-05-01 pi,2017-06-01 pi,2017-07-01 pi,2017-08-01 pi,2017-09-01 pi,2017-10-01 pi,2017-11-01 pi,2017-12-01 pi,2018-01-01 pi,2018-02-01 pi,2018-03-01 pi,2018-04-01 pi,2018-05-01 pi,sum
angebote-von-trägern-marzahn-hellersdorf,,,,,,7,13,3,1,,2,3,1,3,1,3,2,,,,1,,3,1,3,2,1,4,1,,,,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,60
gesundheitsberichterstattung-berlin-gesundheitsindikator-76-inanspruchnahme-des,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
summenlast-der-netzverluste-2010-berlin,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5
gesundheitsberichterstattung-berlin-inanspruchnahme-von-leistungen-der-9,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
los22013-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2
summenlast-der-netzverluste-2009-berlin,,,,,1,,,1,,,1,,,,1,1,3,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,11
summenlast-der-netzverluste-2008-berlin,,,,,,,,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,1,,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,9
gesundheitsberichterstattung-berlin-gesundheitsindikator-814-ausgewählte-berufe-der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
liste-der-hÃ¤ufigen-vornamen-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
historie-ab-2008-summe-einspeisung-hochspannung-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,4
gesundheitsberichterstattung-berlin-gesundheitsindikator-3113-leistungen-zur,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
los12014-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
gesundheitsberichterstattung-berlin-ausgaben-und-finanzierung-gesundheitsausgaben-nach,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5
los92017-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2
gesundheitsberichterstattung-berlin-gesundheitsindikator-351-lebendgeborene-nach,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
jahresabschluss-2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,9
gesundheitsberichterstattung-berlin-gesundheitsindikator-314-vermeidbare-sterbefälle,,,,,,,,,,,5,,,,1,1,2,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,12
jahresprofil-los-2011-berlin-1-teil,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,5
los112016-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,6
gesundheitsberichterstattung-berlin-gesundheitsindikator-514-ergebnisse-der,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
jahresprofil-los-2011-berlin-10-teil,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
historie-ab-2008-summe-einspeisung-niederspannung-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2
einwohnerinnen-und-einwohner-berlin-lor-planungsrÃ¤umen-nach-wohndauer-am-31122014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
los92012-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2
los72013-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-394-rentenzugänge-wegen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
summe-einspeisung-niederspannung-2011-berlin,,,,,,,,,,,,,,,,1,1,,,,,,2,,2,1,,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,10
jahresprofil-los-2012-berlin-2-teil,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,6
gesundheitsberichterstattung-berlin-gesundheitsindikator-211-wanderungen-der-bevölkerung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,,,,,,,,,,,,,,5
gesundheitsberichterstattung-berlin-gesundheitsindikator-369-gemeldete-neuerkrankungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-91-auszubildende-schulen-des,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,5
grundwassergleichen-2011-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,3
los72017-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,1,,,,,,,,,,,,,,,,,,,,,,,,,22
gesundheitsberichterstattung-berlin-gesundheitsindikator-820-ausgewähltes-medizinisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
summenlast-der-netzverluste-2011-berlin,,,,,,,,,,,,,,,,1,1,,,,,,,,,2,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,8
historie-ab-2008-summenlast-fahrplanprognosen-der-slp-kunden-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
jahresprofil-los-2011-berlin-5-teil,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
jahresprofil-los-2012-berlin-1-teil,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,6
jahresprofil-los-2011-berlin-2-teil,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,3
historie-ab-2008-summe-einspeisung-mittelspannung-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
jahresabschluss-2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,14
jahreshöchstlast-der-netzlast-2011-berlin,,,2,1,1,1,,1,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,13
kindertagesstätten-marzahn-hellersdorf,,,,,,19,20,16,3,35,14,10,18,22,15,6,13,10,8,9,30,59,26,5,5,4,4,2,2,,,,1,,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,364
standardlastprofil-wärmepumpe-2011-berlin,,,3,,1,,,,3,1,1,,,,2,1,1,,,,,,,,,,,1,1,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,18
gesundheitsberichterstattung-berlin-inanspruchnahme-von-leistungen-der-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,3
baumbestand-berlin-strassenbäume-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
los62013-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,3
gesundheitsberichterstattung-berlin-gesundheitsindikator-618-ambulante-und-stationäre,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,3
gesundheitsberichterstattung-berlin-gesundheitsindikator-399-leistungen-zur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
summenlast-fahrplanprognosen-der-slp-kunden-2011-berlin,,,4,,3,,1,1,,,,,,,,2,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,14
los82013-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2
hochlastzeiten-berlin,,,,,,,,,1,3,1,,,1,2,1,3,,,4,2,,2,3,2,1,,,,2,,2,,,4,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,36
grundwassergleichen-2012-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,3
gesundheitsberichterstattung-berlin-gesundheitsindikator-22-ausländische-bevölkerung,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
gesundheitsberichterstattung-berlin-spezialberichte-infektionskrankheiten,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2
los92013-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2
gesundheitsberichterstattung-berlin-gesundheitsindikator-52-schwefeldioxid-der-außenluft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
wochen-und-trödelmärkte%22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-375-leistungen-zur,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
jahresprofil-los-2010-berlin-3-teil,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,6
summe-einspeisung-niederspannung-2014-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2
gesundheitsberichterstattung-berlin-gesundheitsindikator-611-krankenhäuser-und,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
los102012-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1
jahresprofil-los-2011-berlin-4-teil,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,4
anzahl-erwerbstätiger-berlin,5,4,24,20,9,14,14,13,33,12,15,8,4,10,8,13,8,15,11,24,29,30,10,27,12,32,29,14,14,18,19,13,21,33,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,575
%3Cfront%3E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
anwendungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
los82015-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
dokumente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
dt,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
www.lichtenberg.berlin.de,,,,,,,,,,,3,,,,,,,,,,,,,1,,1,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
datenbereitsteller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
interaktion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-allgemeine,,,,,,,,,,,3,,,,,,1,,,,,,,,,,,,,,1,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
glossar-zu-daten-für-energyhack-2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,13
los52015-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
liste-der-verbannten-b%25C3%25BCcher,,,,64,26,46,12,20,,,,3,2,2,,,,2,,3,,,,,,,,,,,,3,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,190
los72015-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
anzahl-arbeitsloser-frauen-und-männer-berlin,21,15,27,27,15,9,21,9,1,1,6,2,6,7,2,7,5,7,10,15,7,10,9,7,11,6,8,7,3,2,9,9,8,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,318
anzahl-insolvenzen-berlin,6,20,25,8,10,10,8,10,5,13,8,2,4,8,8,4,3,,1,5,3,3,4,4,6,1,4,3,1,2,5,3,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,203
los12015-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
los112014-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
standardlastprofil-bandlastkunden-2014-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
gesundheitsberichterstattung-berlin-kontext-bezirksprofile-berlin-20122013,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
los52014-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
liste-der-häufigen-vornamen-2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
vbb-fahrplandaten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
anzahl-der-sozialversicherungspflichtig-beschäftigten-im-cluster-ikt-medien,2,1,8,24,3,3,1,2,3,2,2,2,,3,3,5,2,5,3,2,1,3,2,1,1,3,,2,2,1,,4,,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,108
gesundheitsberichterstattung-berlin-gesundheitsindikator-66-dialyseplätze-hämodialyse,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
berliner-betriebskostenÃ¼bersicht-2013,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
los82014-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
gesundheitsberichterstattung-berlin-gesundheitsindikator-622-bestand-medizinisch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
los122014-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
gesundheitsberichterstattung-berlin-gesundheitsindikator-824-personal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
gesundheitsberichterstattung-berlin-gesundheitsindikator-621-apotheken-land-im,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
anzahl-industriebeschäftigter-berlin,,9,13,5,6,1,8,5,2,4,4,2,2,2,8,10,3,3,5,8,9,6,5,10,17,4,5,9,4,3,7,6,5,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,200
preisblatt-mehr-mindermengen-berlin,,,3,3,1,,,,,2,4,2,,2,1,1,1,1,,1,,,,,,,,,,1,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,26
arbeitslosenzahlen-berlin,17,12,22,16,20,14,19,13,7,9,6,8,5,4,14,7,6,15,19,14,6,16,12,10,7,15,8,9,7,8,10,12,4,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,383
fl%C3%83%C2%A4chennutzung-stadtstruktur-2010-und-versiegelung-2011-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
historie-ab-2008-summe-einspeisung-hochspannung-berlin,,,,,1,,,,,,,,,,3,2,1,,,,,,,,,,,,,1,5,4,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,21
gesundheitsberichterstattung-berlin-kontext-geburtsgeschehen-berlin-2011,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
anzahl-der-sozialversicherungspflichtig-beschäftigten-im-cluster-kommunikation-medien,2,1,9,5,4,2,4,3,,4,4,1,1,4,3,2,2,2,2,1,1,4,2,2,1,2,2,5,1,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,80
gesundheitsberichterstattung-berlin-kontext-einschulungsuntersuchung-berlin-2009,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
gr%C3%83%C2%BCn-und-freifl%C3%83%C2%A4chenbestand-2010-umweltatlas-wfs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
los12015-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
gesundheitsberichterstattung-berlin-kosten-krankheitskosten,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
gesundheitsberichterstattung-berlin-kontext-kjgd-berlin-2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
los32014-berlin,,,5,1,1,,,,,,,,,,,1,1,,,,,2,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
g%E4stebuch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
ausländische-einwohnerinnen-am-ort-ihrer-hauptwohnung-berlin-am-31122006,,,,4,9,3,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20
mikrozensus-2009,24,16,22,4,4,2,1,10,2,3,4,,,,,,,1,,4,,,,1,1,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,102
historie-ab-2008-differenzbilanzierung-berlin,,,,,,1,1,2,2,,1,,1,3,1,1,2,,,,,,,,1,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,18
sozialstatistisches-berichtswesen-berlin-statistische-kurzinformationen-leistungen-nac-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
gesundheitsberichterstattung-berlin-kontext-einschulungsuntersuchung-berlin-2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
gesundheitsberichterstattung-berlin-ausbildung-im-gesundheitswesen-erteilte,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
gesundheitsberichterstattung-berlin-gesundheitsindikator-811-zahnärztinnen-und-zahnärzte,,,,,,,,,,,,,14,3,4,1,1,5,2,2,1,3,3,,4,5,7,5,4,1,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,68
anzahl-erwerbstätiger-im-cluster-kommunikation-medien-kulturwirtschaft-2009,,,7,11,6,2,4,7,3,6,8,6,3,10,6,7,2,5,6,2,,1,4,8,17,5,5,2,3,2,3,8,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,165
jahresprofil-los-2008-berlin,,,2,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
geometrien-der-lor-bezirksregionen-berlins-stand-090207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
los52015-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-364-gemeldete-gesicherte-hiv,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
gesundheitsberichterstattung-berlin-gesundheitsindikator-113-kostenstrukturanalyse,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
jahresprofil-los-2009-berlin-2-teil,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
jahresprofil-los-2012-berlin-5-teil,,,2,,1,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
vbb-fahrplan-2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
los52014-berlin-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
los112014-berlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
anzahl-erwerbstätiger-im-cluster-kommunikation-medien-kulturwirtschaft-2005-2008,3,4,,,,1,3,2,1,4,2,2,,2,6,5,2,4,1,2,,4,1,3,2,3,,,,1,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,63
gesundheitsberichterstattung-berlin-gesundheitsindikator-85-ärztinnen-und-ärzte-nach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
gesundheitsberichterstattung-berlin-gesundheitszustand-der-bevölkerung-9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
liste-der-häufigen-vornamen-2014)%C2%A0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
rbs6ortsteile6dezember62014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
fnp-fl%C3%83%C2%A4chennutzungsplan-berlin-stand-2009-wms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
gesundheitsberichterstattung-berlin-gesundheitsindikator-88-ärztinnenärzte-und,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
anzahl-selbstständiger-berlin,22,23,31,26,11,9,24,14,5,8,3,1,8,5,8,6,3,5,9,9,5,4,5,9,7,6,5,8,3,4,4,9,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,309
gesundheitsberichterstattung-berlin-gesundheitsindikator-613-krankenhäuser-nach,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
gesundheitsberichterstattung-berlin-kontext-einschulungsuntersuchung-berlin-2004,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
ausfuhreinfuhr-2011,12,17,14,5,1,3,7,5,4,1,2,,,,,,,,,,,,,,,,,1,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,74
gesundheitsberichterstattung-berlin-kontext-lageso-jahresbericht-2011,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
gesundheitsberichterstattung-berlin-kontext-einschulungsuntersuchung-berlin-2011,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
